time,temperatuer_high,temperature_low,temperatureDelta,晴,云,阴,雨,雾,霾,雪,沙,雷,无持续风向,北风,东北风,南风,wind_power,good,bad,other,kouzhaoWeiboNum,ration,target
2013-7-8,29,22,7,0,0,1,1,0,0,0,0,1,1,0,0,0,3,0,16,6,7,0.632191577,109.826087
2013-7-9,27,22,5,0,0,1,1,0,0,0,0,0,1,0,0,0,3,0,86,19,11,2.752320497,91.39130435
2013-7-10,27,21,6,0,0,1,1,0,0,0,0,0,1,0,0,0,3,0,41,10,6,1.316141352,50.39130435
2013-7-11,27,22,5,0,1,1,1,0,0,0,0,0,1,0,0,0,3,0,29,3,2,0.918168124,58.08695652
2013-7-12,32,22,10,1,1,0,0,0,0,0,0,0,1,0,0,0,3,0,32,10,8,1.09234455,129.8695652
2013-7-13,31,24,7,0,1,1,0,1,1,0,0,0,1,0,0,0,3,0,16,0,5,0.522272171,161.5652174
2013-7-14,30,22,8,0,1,1,1,1,1,0,0,0,1,0,0,0,3,0,17,2,4,0.574365073,141.3478261
2013-7-15,26,22,4,1,0,1,1,0,0,0,0,0,1,0,0,0,3,0,13,8,3,0.56359308,60.43478261
2013-7-16,34,21,13,1,1,0,0,0,0,0,0,0,1,1,0,0,4,2,36,3,1,0.848100071,47.86956522
2013-7-17,33,23,10,1,1,0,0,0,0,0,0,0,1,0,0,0,3,0,8,1,2,0.33042395,116.8695652
2013-7-18,28,22,6,0,0,1,1,0,0,0,0,1,1,0,0,0,3,0,20,3,4,0.638462774,193.4782609
2013-7-19,30,23,7,1,1,0,0,1,1,0,0,0,1,0,0,0,3,0,17,3,8,0.582388488,171.7826087
2013-7-20,31,23,8,1,1,1,0,0,0,0,0,0,1,0,0,0,3,0,10,2,1,0.301427995,115.173913
2013-7-21,32,23,9,0,1,0,0,0,0,0,0,0,1,0,0,0,3,1,20,0,2,0.650387363,112.4347826
2013-7-22,31,23,8,0,1,1,0,0,0,0,0,0,1,0,0,0,3,1,22,3,4,0.695733927,126.9565217
2013-7-23,31,22,9,1,1,0,0,0,0,0,0,0,1,0,0,0,3,0,10,3,6,0.455414759,106.6086957
2013-7-24,37,24,13,1,0,0,0,0,0,0,0,0,1,0,0,0,3,1,11,2,2,0.532939282,72.13636364
2013-7-25,34,24,10,1,1,1,0,0,0,0,0,0,1,0,0,0,3,0,13,3,1,0.398560128,145.1818182
2013-7-26,29,23,6,0,0,1,1,0,0,0,0,0,1,0,0,0,3,2,10,1,3,0.344638951,80.04347826
2013-7-27,27,23,4,1,0,1,1,0,0,0,0,0,1,0,0,0,3,0,12,0,1,0.32836581,145.2608696
2013-7-28,37,25,12,1,1,0,0,0,0,0,0,0,1,0,0,0,3,0,8,2,5,0.307504879,109.7826087
2013-7-29,32,24,8,1,1,1,0,0,0,0,0,0,1,0,0,0,3,0,13,2,2,0.554228772,95.86956522
2013-7-30,35,25,10,1,1,1,0,0,0,0,0,0,1,0,0,0,3,0,12,7,6,0.496807759,161.5217391
2013-7-31,33,22,11,0,1,1,1,0,0,0,0,0,1,0,0,0,3,0,8,3,2,0.29217891,141.8695652
2013-8-1,28,21,7,0,0,1,1,0,0,0,0,1,1,0,0,0,3,0,9,4,4,0.345509552,61.43478261
2013-8-2,31,23,8,0,1,1,1,0,0,0,0,1,1,0,0,0,3,0,10,0,4,0.271225813,127.826087
2013-8-3,33,23,10,1,1,0,0,0,0,0,0,0,1,0,0,0,3,1,7,3,1,0.309045335,132.4347826
2013-8-4,35,23,12,1,0,1,1,0,0,0,0,1,1,0,0,0,3,0,15,1,1,0.48290657,154.173913
2013-8-5,34,24,10,1,1,1,0,0,0,0,0,0,1,0,0,0,3,1,23,5,4,0.866817812,152.2608696
2013-8-6,32,23,9,0,1,1,1,0,0,0,0,1,1,0,0,0,3,1,22,5,18,0.94419058,176.826087
2013-8-7,30,23,7,1,0,1,1,0,0,0,0,0,1,0,0,0,3,0,10,0,6,0.230404288,46.73913043
2013-8-8,34,24,10,1,1,0,0,0,0,0,0,0,1,0,0,0,3,1,7,4,1,0.379111421,114.3913043
2013-8-9,36,23,13,1,1,1,0,0,0,0,0,0,1,0,0,0,3,0,9,2,3,0.32502079,140
2013-8-10,35,26,9,1,1,1,0,0,0,0,0,0,1,0,0,0,3,0,16,0,1,0.485544295,169.9130435
2013-8-11,31,23,8,0,0,1,1,0,0,0,0,0,1,0,0,0,3,0,27,0,3,0.776625216,184.173913
